Ticker,Stock Name,Price Code,Ratios Code,In Market?
ACFC,Atlantic Coast Federal Corp.,GOOG/NASDAQ_ACFC,DMDRN/ACFC_ALLFINANCIALRATIOS,Active
ACFN,Acorn Energy,GOOG/NASDAQ_ACFN,DMDRN/ACFN_ALLFINANCIALRATIOS,Active
ACG,Alliancebernstein Income Fund Inc,GOOG/NYSE_ACG,DMDRN/ACG_ALLFINANCIALRATIOS,Active
ACGI,Amacore Group Inc,GOOG/PINK_ACGI,DMDRN/ACGI_ALLFINANCIALRATIOS,Not Active
ACGIE,Amacore Group Inc,NA,DMDRN/ACGIE_ALLFINANCIALRATIOS,Not Active
ACGL,Arch Capital Group Ltd,GOOG/NASDAQ_ACGL,DMDRN/ACGL_ALLFINANCIALRATIOS,Active
ACGY,Acergy SA,NA,DMDRN/ACGY_ALLFINANCIALRATIOS,Not Active
ACHC,Acadia Healthcare Company Inc.,GOOG/NASDAQ_ACHC,DMDRN/ACHC_ALLFINANCIALRATIOS,Active
ACHI,AmeriChip International Inc,NA,DMDRN/ACHI_ALLFINANCIALRATIOS,Not Active
ACHN,Achillion Pharmaceuticals,GOOG/NASDAQ_ACHN,DMDRN/ACHN_ALLFINANCIALRATIOS,Active
ACI,Arch Coal,GOOG/NYSE_ACI,DMDRN/ACI_ALLFINANCIALRATIOS,Active
ACII,AmeriChip International Inc,NA,DMDRN/ACII_ALLFINANCIALRATIOS,Not Active
ACIT,ACI Telecentrics,NA,DMDRN/ACIT_ALLFINANCIALRATIOS,Not Active
ACIW,Aci Worldwide,GOOG/NASDAQ_ACIW,DMDRN/ACIW_ALLFINANCIALRATIOS,Active
ACK,Armstrong Holdings,NA,DMDRN/ACK_ALLFINANCIALRATIOS,Not Active
ACK.TO,Acktion Corp.,NA,DMDRN/ACK_TO_ALLFINANCIALRATIOS,Not Active
ACKBF,Anthony Clark Int'l Insurance,GOOG/PINK_ACKBF,DMDRN/ACKBF_ALLFINANCIALRATIOS,Not Active
ACKH,Armstrong Holdings,NA,DMDRN/ACKH_ALLFINANCIALRATIOS,Not Active
ACKHQ,Armstrong Holdings,NA,DMDRN/ACKHQ_ALLFINANCIALRATIOS,Not Active
ACL,ACE Limited,NA,DMDRN/ACL_ALLFINANCIALRATIOS,Not Active
ACLA,Aclara Biosciences Inc,NA,DMDRN/ACLA_ALLFINANCIALRATIOS,Not Active
ACLE,Accel Int'l Corp.,NA,DMDRN/ACLE_ALLFINANCIALRATIOS,Not Active
ACLI,American Commercial Lines Inc,NA,DMDRN/ACLI_ALLFINANCIALRATIOS,Not Active
ACLM,Allis-Chalmers (NEW),NA,DMDRN/ACLM_ALLFINANCIALRATIOS,Not Active
ACLO,Accelio Corp,NA,DMDRN/ACLO_ALLFINANCIALRATIOS,Not Active
ACLP,AccelPath Inc,GOOG/PINK_ACLP,DMDRN/ACLP_ALLFINANCIALRATIOS,Active
